pessoas,maquinas,vazao_total,vazao_1,sensor_p1,vazao_2,sensor_p2,vazao_3,sensor_p3,vazamento,t_seg,hora,inicio_exp,fim_exp,meio_exp
0,2,0.19,0.06,0,0.06,0,0.06,0,0,2250,00:37:30,,,
0,5,0.57,0.19,0,0.19,0,0.19,0,0,2280,00:38:00,,,
0,4,0.40,0.13,0,0.16,0,0.11,0,0,2310,00:38:30,,,
0,1,0.08,0.03,0,0.03,0,0.03,0,0,2340,00:39:00,,,
0,2,0.19,0.05,0,0.08,0,0.06,0,0,2370,00:39:30,,,
0,5,0.46,0.14,0,0.17,0,0.16,0,0,2400,00:40:00,,,
0,2,0.19,0.07,0,0.06,0,0.06,0,0,2430,00:40:30,,,
0,1,0.09,0.03,0,0.03,0,0.03,0,0,2460,00:41:00,,,
0,2,0.17,0.05,0,0.06,0,0.05,0,0,2490,00:41:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,2520,00:42:00,,,
0,2,0.18,0.06,0,0.06,0,0.05,0,0,2550,00:42:30,,,
0,2,0.20,0.07,0,0.06,0,0.07,0,0,2580,00:43:00,,,
0,2,0.21,0.07,0,0.07,0,0.06,0,0,2610,00:43:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,2640,00:44:00,,,
0,4,0.38,0.11,0,0.14,0,0.13,0,0,2670,00:44:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,2700,00:45:00,,,
0,5,0.45,0.15,0,0.15,0,0.15,0,0,2730,00:45:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,2760,00:46:00,,,
0,1,0.08,0.03,0,0.03,0,0.03,0,0,2790,00:46:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,2820,00:47:00,,,
0,3,0.31,0.09,0,0.11,0,0.11,0,0,2850,00:47:30,,,
0,4,0.39,0.13,0,0.16,0,0.11,0,0,2880,00:48:00,,,
0,3,0.26,0.09,0,0.08,0,0.09,0,0,2910,00:48:30,,,
0,1,0.09,0.03,0,0.03,0,0.03,0,0,2940,00:49:00,,,
0,2,0.19,0.05,0,0.07,0,0.06,0,0,2970,00:49:30,,,
0,5,0.44,0.13,0,0.18,0,0.13,0,0,3000,00:50:00,,,
0,2,0.19,0.06,0,0.07,0,0.06,0,0,3030,00:50:30,,,
0,3,0.26,0.08,0,0.09,0,0.09,0,0,3060,00:51:00,,,
0,5,0.46,0.13,0,0.19,0,0.15,0,0,3090,00:51:30,,,
0,5,0.44,0.16,0,0.16,0,0.13,0,0,3120,00:52:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,3150,00:52:30,,,
0,1,0.09,0.03,0,0.03,0,0.03,0,0,3180,00:53:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,3210,00:53:30,,,
0,1,0.10,0.04,0,0.03,0,0.03,0,0,3240,00:54:00,,,
0,1,0.09,0.03,0,0.04,0,0.03,0,0,3270,00:54:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,3300,00:55:00,,,
0,2,0.21,0.06,0,0.08,0,0.07,0,0,3330,00:55:30,,,
0,4,0.35,0.13,0,0.11,0,0.11,0,0,3360,00:56:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,3390,00:56:30,,,
0,1,0.10,0.03,0,0.03,0,0.04,0,0,3420,00:57:00,,,
0,5,0.50,0.19,0,0.19,0,0.13,0,0,3450,00:57:30,,,
0,2,0.20,0.06,0,0.08,0,0.06,0,0,3480,00:58:00,,,
0,2,0.21,0.08,0,0.06,0,0.07,0,0,3510,00:58:30,,,
0,4,0.38,0.11,0,0.12,0,0.15,0,0,3540,00:59:00,,,
0,1,0.10,0.04,0,0.03,0,0.03,0,0,3570,00:59:30,,,
0,1,0.10,0.03,0,0.03,0,0.04,0,0,3600,01:00:00,,,
0,4,0.36,0.13,0,0.13,0,0.10,0,0,3630,01:00:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,3660,01:01:00,,,
0,3,0.26,0.08,0,0.08,0,0.10,0,0,3690,01:01:30,,,
0,2,0.18,0.07,0,0.05,0,0.06,0,0,3720,01:02:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,3750,01:02:30,,,
0,4,0.38,0.12,0,0.10,0,0.16,0,0,3780,01:03:00,,,
0,4,0.34,0.11,0,0.10,0,0.14,0,0,3810,01:03:30,,,
0,4,0.32,0.11,0,0.10,0,0.11,0,0,3840,01:04:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,3870,01:04:30,,,
0,2,0.17,0.06,0,0.05,0,0.06,0,0,3900,01:05:00,,,
0,3,0.30,0.10,0,0.08,0,0.12,0,0,3930,01:05:30,,,
0,4,0.36,0.11,0,0.12,0,0.13,0,0,3960,01:06:00,,,
0,1,0.10,0.04,0,0.03,0,0.04,0,0,3990,01:06:30,,,
0,4,0.34,0.11,0,0.11,0,0.12,0,0,4020,01:07:00,,,
0,1,0.09,0.03,0,0.03,0,0.03,0,0,4050,01:07:30,,,
0,4,0.38,0.13,0,0.14,0,0.11,0,0,4080,01:08:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,4110,01:08:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,4140,01:09:00,,,
0,5,0.43,0.13,0,0.17,0,0.13,0,0,4170,01:09:30,,,
0,1,0.10,0.04,0,0.03,0,0.03,0,0,4200,01:10:00,,,
0,3,0.27,0.09,0,0.08,0,0.10,0,0,4230,01:10:30,,,
0,4,0.38,0.13,0,0.11,0,0.15,0,0,4260,01:11:00,,,
0,4,0.44,0.14,0,0.15,0,0.14,0,0,4290,01:11:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,4320,01:12:00,,,
0,5,0.40,0.14,0,0.14,0,0.13,0,0,4350,01:12:30,,,
0,3,0.28,0.09,0,0.09,0,0.11,0,0,4380,01:13:00,,,
0,5,0.51,0.19,0,0.16,0,0.16,0,0,4410,01:13:30,,,
0,5,0.44,0.14,0,0.14,0,0.17,0,0,4440,01:14:00,,,
0,5,0.44,0.16,0,0.13,0,0.16,0,0,4470,01:14:30,,,
0,1,0.08,0.03,0,0.03,0,0.03,0,0,4500,01:15:00,,,
0,4,0.37,0.11,0,0.15,0,0.11,0,0,4530,01:15:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,4560,01:16:00,,,
0,5,0.51,0.20,0,0.13,0,0.19,0,0,4590,01:16:30,,,
0,1,0.09,0.03,0,0.03,0,0.03,0,0,4620,01:17:00,,,
0,5,0.44,0.14,0,0.13,0,0.17,0,0,4650,01:17:30,,,
0,5,0.56,0.20,0,0.18,0,0.18,0,0,4680,01:18:00,,,
0,4,0.41,0.15,0,0.11,0,0.14,0,0,4710,01:18:30,,,
0,2,0.21,0.08,0,0.08,0,0.05,0,0,4740,01:19:00,,,
0,5,0.46,0.19,0,0.13,0,0.15,0,0,4770,01:19:30,,,
0,3,0.31,0.12,0,0.12,0,0.08,0,0,4800,01:20:00,,,
0,3,0.24,0.08,0,0.08,0,0.08,0,0,4830,01:20:30,,,
0,5,0.58,0.19,0,0.19,0,0.20,0,0,4860,01:21:00,,,
0,1,0.10,0.03,0,0.03,0,0.04,0,0,4890,01:21:30,,,
0,1,0.08,0.03,0,0.03,0,0.03,0,0,4920,01:22:00,,,
0,3,0.27,0.10,0,0.09,0,0.08,0,0,4950,01:22:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,4980,01:23:00,,,
0,2,0.20,0.06,0,0.07,0,0.07,0,0,5010,01:23:30,,,
0,2,0.20,0.07,0,0.05,0,0.08,0,0,5040,01:24:00,,,
0,3,0.25,0.09,0,0.09,0,0.08,0,0,5070,01:24:30,,,
0,4,0.36,0.13,0,0.11,0,0.11,0,0,5100,01:25:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,5130,01:25:30,,,
0,5,0.48,0.16,0,0.14,0,0.18,0,0,5160,01:26:00,,,
0,5,0.44,0.17,0,0.13,0,0.15,0,0,5190,01:26:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,5220,01:27:00,,,
0,3,0.27,0.09,0,0.09,0,0.09,0,0,5250,01:27:30,,,
0,3,0.28,0.09,0,0.10,0,0.09,0,0,5280,01:28:00,,,
0,3,0.27,0.09,0,0.08,0,0.10,0,0,5310,01:28:30,,,
0,3,0.28,0.09,0,0.11,0,0.08,0,0,5340,01:29:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,5370,01:29:30,,,
0,2,0.20,0.07,0,0.07,0,0.05,0,0,5400,01:30:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,5430,01:30:30,,,
0,3,0.31,0.12,0,0.12,0,0.08,0,0,5460,01:31:00,,,
0,5,0.46,0.13,0,0.17,0,0.16,0,0,5490,01:31:30,,,
0,1,0.09,0.03,0,0.03,0,0.03,0,0,5520,01:32:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,5550,01:32:30,,,
0,3,0.30,0.08,0,0.10,0,0.12,0,0,5580,01:33:00,,,
0,4,0.37,0.13,0,0.11,0,0.13,0,0,5610,01:33:30,,,
0,4,0.34,0.13,0,0.11,0,0.11,0,0,5640,01:34:00,,,
0,3,0.31,0.12,0,0.09,0,0.10,0,0,5670,01:34:30,,,
0,1,0.09,0.03,0,0.03,0,0.03,0,0,5700,01:35:00,,,
0,4,0.37,0.16,0,0.10,0,0.11,0,0,5730,01:35:30,,,
0,4,0.40,0.11,0,0.16,0,0.13,0,0,5760,01:36:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,5790,01:36:30,,,
0,5,0.45,0.19,0,0.13,0,0.14,0,0,5820,01:37:00,,,
0,5,0.46,0.19,0,0.14,0,0.14,0,0,5850,01:37:30,,,
0,1,0.09,0.03,0,0.03,0,0.03,0,0,5880,01:38:00,,,
0,5,0.41,0.13,0,0.15,0,0.14,0,0,5910,01:38:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,5940,01:39:00,,,
0,4,0.41,0.16,0,0.12,0,0.13,0,0,5970,01:39:30,,,
0,5,0.45,0.15,0,0.15,0,0.16,0,0,6000,01:40:00,,,
0,3,0.24,0.09,0,0.08,0,0.08,0,0,6030,01:40:30,,,
0,5,0.50,0.20,0,0.13,0,0.17,0,0,6060,01:41:00,,,
0,3,0.29,0.09,0,0.09,0,0.12,0,0,6090,01:41:30,,,
0,5,0.45,0.14,0,0.15,0,0.16,0,0,6120,01:42:00,,,
0,3,0.27,0.08,0,0.10,0,0.10,0,0,6150,01:42:30,,,
0,2,0.20,0.05,0,0.07,0,0.08,0,0,6180,01:43:00,,,
0,3,0.29,0.10,0,0.09,0,0.11,0,0,6210,01:43:30,,,
0,2,0.19,0.06,0,0.07,0,0.05,0,0,6240,01:44:00,,,
0,2,0.21,0.06,0,0.08,0,0.08,0,0,6270,01:44:30,,,
0,5,0.48,0.17,0,0.13,0,0.17,0,0,6300,01:45:00,,,
0,4,0.44,0.15,0,0.14,0,0.15,0,0,6330,01:45:30,,,
0,2,0.19,0.05,0,0.07,0,0.06,0,0,6360,01:46:00,,,
0,1,0.08,0.03,0,0.03,0,0.03,0,0,6390,01:46:30,,,
0,4,0.38,0.15,0,0.11,0,0.12,0,0,6420,01:47:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,6450,01:47:30,,,
0,4,0.37,0.14,0,0.12,0,0.11,0,0,6480,01:48:00,,,
0,1,0.09,0.03,0,0.03,0,0.03,0,0,6510,01:48:30,,,
0,4,0.42,0.15,0,0.11,0,0.15,0,0,6540,01:49:00,,,
0,1,0.08,0.03,0,0.03,0,0.03,0,0,6570,01:49:30,,,
0,3,0.29,0.08,0,0.09,0,0.12,0,0,6600,01:50:00,,,
0,4,0.36,0.14,0,0.10,0,0.12,0,0,6630,01:50:30,,,
0,3,0.24,0.08,0,0.08,0,0.08,0,0,6660,01:51:00,,,
0,5,0.46,0.20,0,0.13,0,0.14,0,0,6690,01:51:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,6720,01:52:00,,,
0,4,0.36,0.11,0,0.14,0,0.11,0,0,6750,01:52:30,,,
0,1,0.09,0.04,0,0.03,0,0.03,0,0,6780,01:53:00,,,
0,2,0.19,0.05,0,0.06,0,0.07,0,0,6810,01:53:30,,,
0,1,0.10,0.04,0,0.03,0,0.04,0,0,6840,01:54:00,,,
0,1,0.09,0.03,0,0.04,0,0.03,0,0,6870,01:54:30,,,
0,2,0.19,0.08,0,0.05,0,0.06,0,0,6900,01:55:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,6930,01:55:30,,,
0,4,0.32,0.11,0,0.10,0,0.10,0,0,6960,01:56:00,,,
0,1,0.10,0.03,0,0.03,0,0.04,0,0,6990,01:56:30,,,
0,4,0.35,0.10,0,0.11,0,0.14,0,0,7020,01:57:00,,,
0,3,0.30,0.08,0,0.12,0,0.10,0,0,7050,01:57:30,,,
0,3,0.28,0.09,0,0.10,0,0.09,0,0,7080,01:58:00,,,
0,4,0.39,0.12,0,0.13,0,0.14,0,0,7110,01:58:30,,,
0,4,0.33,0.12,0,0.11,0,0.11,0,0,7140,01:59:00,,,
0,3,0.28,0.09,0,0.10,0,0.09,0,0,7170,01:59:30,,,
0,5,0.57,0.19,0,0.20,0,0.18,0,0,7200,02:00:00,,,
0,3,0.30,0.10,0,0.12,0,0.09,0,0,7230,02:00:30,,,
0,1,0.10,0.03,0,0.04,0,0.03,0,0,7260,02:01:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,7290,02:01:30,,,
0,5,0.41,0.13,0,0.15,0,0.13,0,0,7320,02:02:00,,,
0,4,0.36,0.13,0,0.11,0,0.12,0,0,7350,02:02:30,,,
0,5,0.50,0.16,0,0.18,0,0.16,0,0,7380,02:03:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,7410,02:03:30,,,
0,2,0.19,0.05,0,0.08,0,0.06,0,0,7440,02:04:00,,,
0,4,0.32,0.11,0,0.11,0,0.11,0,0,7470,02:04:30,,,
0,5,0.43,0.17,0,0.14,0,0.13,0,0,7500,02:05:00,,,
0,3,0.31,0.12,0,0.10,0,0.09,0,0,7530,02:05:30,,,
0,3,0.30,0.09,0,0.08,0,0.12,0,0,7560,02:06:00,,,
0,5,0.50,0.16,0,0.18,0,0.16,0,0,7590,02:06:30,,,
0,3,0.25,0.09,0,0.08,0,0.08,0,0,7620,02:07:00,,,
0,1,0.10,0.04,0,0.03,0,0.03,0,0,7650,02:07:30,,,
0,1,0.10,0.03,0,0.03,0,0.04,0,0,7680,02:08:00,,,
0,4,0.39,0.15,0,0.12,0,0.12,0,0,7710,02:08:30,,,
0,2,0.20,0.05,0,0.08,0,0.07,0,0,7740,02:09:00,,,
0,3,0.28,0.10,0,0.09,0,0.09,0,0,7770,02:09:30,,,
0,1,0.11,0.04,0,0.03,0,0.04,0,0,7800,02:10:00,,,
0,1,0.10,0.03,0,0.03,0,0.03,0,0,7830,02:10:30,,,
0,4,0.34,0.13,0,0.11,0,0.11,0,0,7860,02:11:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,7890,02:11:30,,,
0,3,0.27,0.12,0,0.08,0,0.08,0,0,7920,02:12:00,,,
0,5,0.44,0.15,0,0.15,0,0.14,0,0,7950,02:12:30,,,
0,4,0.40,0.13,0,0.12,0,0.16,0,0,7980,02:13:00,,,
0,2,0.17,0.06,0,0.05,0,0.05,0,0,8010,02:13:30,,,
0,5,0.46,0.14,0,0.19,0,0.14,0,0,8040,02:14:00,,,
0,1,0.11,0.04,0,0.04,0,0.04,0,0,8070,02:14:30,,,
0,5,0.48,0.19,0,0.15,0,0.13,0,0,8100,02:15:00,,,
0,1,0.10,0.04,0,0.03,0,0.03,0,0,8130,02:15:30,,,
0,1,0.09,0.03,0,0.04,0,0.03,0,0,8160,02:16:00,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,8190,02:16:30,,,
0,1,0.09,0.03,0,0.03,0,0.03,0,0,8220,02:17:00,,,
0,3,0.30,0.11,0,0.11,0,0.08,0,0,8250,02:17:30,,,
0,3,0.29,0.08,0,0.09,0,0.12,0,0,8280,02:18:00,,,
0,1,0.09,0.03,0,0.03,0,0.03,0,0,8310,02:18:30,,,
0,1,0.10,0.04,0,0.03,0,0.03,0,0,8340,02:19:00,,,
0,4,0.36,0.11,0,0.15,0,0.11,0,0,8370,02:19:30,,,
0,1,0.10,0.04,0,0.03,0,0.04,0,0,8400,02:20:00,,,
0,5,0.49,0.14,0,0.14,0,0.20,0,0,8430,02:20:30,,,
0,5,0.47,0.16,0,0.17,0,0.15,0,0,8460,02:21:00,,,
0,2,0.18,0.07,0,0.06,0,0.05,0,0,8490,02:21:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,8520,02:22:00,,,
0,3,0.30,0.08,0,0.11,0,0.11,0,0,8550,02:22:30,,,
0,5,0.43,0.17,0,0.13,0,0.14,0,0,8580,02:23:00,,,
0,2,0.16,0.05,0,0.06,0,0.05,0,0,8610,02:23:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,8640,02:24:00,,,
0,3,0.30,0.08,0,0.11,0,0.12,0,0,8670,02:24:30,,,
0,4,0.43,0.14,0,0.15,0,0.15,0,0,8700,02:25:00,,,
0,1,0.09,0.03,0,0.03,0,0.03,0,0,8730,02:25:30,,,
0,1,0.10,0.04,0,0.04,0,0.03,0,0,8760,02:26:00,,,
0,4,0.34,0.10,0,0.14,0,0.10,0,0,8790,02:26:30,,,
0,4,0.38,0.12,0,0.11,0,0.15,0,0,8820,02:27:00,,,
0,5,0.44,0.15,0,0.15,0,0.14,0,0,8850,02:27:30,,,
0,4,0.36,0.11,0,0.15,0,0.10,0,0,8880,02:28:00,,,
0,5,0.48,0.19,0,0.13,0,0.17,0,0,8910,02:28:30,,,
0,4,0.35,0.11,0,0.14,0,0.10,0,0,8940,02:29:00,,,
0,4,0.38,0.13,0,0.11,0,0.13,0,0,8970,02:29:30,,,
0,2,0.21,0.06,0,0.08,0,0.07,0,0,9000,02:30:00,,,
0,3,0.27,0.10,0,0.08,0,0.09,0,0,9030,02:30:30,,,
0,5,0.45,0.13,0,0.14,0,0.19,0,0,9060,02:31:00,,,
0,5,0.50,0.18,0,0.19,0,0.13,0,0,9090,02:31:30,,,
0,5,0.48,0.15,0,0.18,0,0.15,0,0,9120,02:32:00,,,
0,4,0.40,0.16,0,0.13,0,0.11,0,0,9150,02:32:30,,,
0,1,0.08,0.03,0,0.03,0,0.03,0,0,9180,02:33:00,,,
0,2,0.15,0.05,0,0.05,0,0.05,0,0,9210,02:33:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,9240,02:34:00,,,
0,3,0.26,0.08,0,0.08,0,0.10,0,0,9270,02:34:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,9300,02:35:00,,,
0,1,0.09,0.03,0,0.03,0,0.03,0,0,9330,02:35:30,,,
0,5,0.48,0.17,0,0.14,0,0.17,0,0,9360,02:36:00,,,
0,1,2.09,0.03,0,0.04,0,0.03,0,1,9390,02:36:30,,,
0,1,0.11,0.04,0,0.03,0,0.04,0,0,9420,02:37:00,,,
0,4,0.44,0.15,0,0.15,0,0.15,0,0,9450,02:37:30,,,
0,2,0.21,0.08,0,0.07,0,0.06,0,0,9480,02:38:00,,,
0,1,0.11,0.04,0,0.04,0,0.03,0,0,9510,02:38:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,9540,02:39:00,,,
0,1,0.09,0.04,0,0.03,0,0.03,0,0,9570,02:39:30,,,
0,5,0.48,0.15,0,0.19,0,0.14,0,0,9600,02:40:00,,,
0,1,0.09,0.03,0,0.03,0,0.03,0,0,9630,02:40:30,,,
0,5,0.47,0.17,0,0.17,0,0.13,0,0,9660,02:41:00,,,
0,4,0.34,0.11,0,0.11,0,0.12,0,0,9690,02:41:30,,,
0,5,0.44,0.15,0,0.14,0,0.15,0,0,9720,02:42:00,,,
0,3,0.28,0.08,0,0.10,0,0.10,0,0,9750,02:42:30,,,
0,4,0.34,0.10,0,0.10,0,0.14,0,0,9780,02:43:00,,,
0,2,0.18,0.06,0,0.06,0,0.06,0,0,9810,02:43:30,,,
0,5,0.44,0.14,0,0.15,0,0.16,0,0,9840,02:44:00,,,
0,3,0.26,0.08,0,0.11,0,0.08,0,0,9870,02:44:30,,,
0,5,0.48,0.16,0,0.17,0,0.15,0,0,9900,02:45:00,,,
0,2,0.19,0.06,0,0.06,0,0.08,0,0,9930,02:45:30,,,
0,2,0.18,0.05,0,0.06,0,0.07,0,0,9960,02:46:00,,,
0,2,0.20,0.07,0,0.08,0,0.06,0,0,9990,02:46:30,,,
0,5,0.45,0.13,0,0.16,0,0.17,0,0,10020,02:47:00,,,
0,1,0.09,0.03,0,0.03,0,0.03,0,0,10050,02:47:30,,,
0,0,0.00,0.00,0,0.00,0,0.00,0,0,10080,02:48:00,,,
0,3,0.28,0.11,0,0.09,0,0.08,0,0,10110,02:48:30,,,
0,4,0.44,0.14,0,0.15,0,0.15,0,0,10140,02:49:00,,,
0,3,0.25,0.08,0,0.09,0,0.08,0,0,10170,02:49:30,,,
0,5,0.48,0.14,0,0.14,0,0.20,0,0,10200,02:50:00,,,
0,2,0.19,0.06,0,0.07,0,0.06,0,0,10230,02:50:30,,,
0,2,0.17,0.07,0,0.05,0,0.05,0,0,10260,02:51:00,,,
0,5,0.44,0.17,0,0.13,0,0.14,0,0,10290,02:51:30,,,
0,3,0.27,0.10,0,0.08,0,0.10,0,0,10320,02:52:00,,,
0,2,0.17,0.05,0,0.05,0,0.07,0,0,10350,02:52:30,,,
