N pessoas,N máquinas usando agua,Vazão Total,Vazão 1,Vazão 2,Vazão 3,Vazamento,Normal,,,Tempo de simulação em segundos,Horário,,,Inicio expedianete,Fim expediente,Meio expediete
0,2,0.16,0.05,0.06,0.05,0,1,,,2430,00:40:30,,,,,
0,3,0.26,0.09,0.09,0.08,0,1,,,2460,00:41:00,,,,,
0,3,0.35,0.12,0.12,0.12,0,1,,,2490,00:41:30,,,,,
0,3,0.27,0.08,0.08,0.12,0,1,,,2520,00:42:00,,,,,
0,4,0.38,0.11,0.14,0.14,0,1,,,2550,00:42:30,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,2580,00:43:00,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,2610,00:43:30,,,,,
0,3,0.27,0.09,0.09,0.09,0,1,,,2640,00:44:00,,,,,
0,4,0.35,0.11,0.11,0.14,0,1,,,2670,00:44:30,,,,,
0,5,0.40,0.14,0.13,0.13,0,1,,,2700,00:45:00,,,,,
0,1,0.10,0.03,0.04,0.03,0,1,,,2730,00:45:30,,,,,
0,5,0.45,0.15,0.13,0.17,0,1,,,2760,00:46:00,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,2790,00:46:30,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,2820,00:47:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,2850,00:47:30,,,,,
0,2,0.19,0.06,0.08,0.06,0,1,,,2880,00:48:00,,,,,
0,1,0.10,0.04,0.03,0.03,0,1,,,2910,00:48:30,,,,,
0,3,1.26,0.08,0.08,0.10,1,0,,,2940,00:49:00,,,,,
0,3,0.29,0.09,0.08,0.12,0,1,,,2970,00:49:30,,,,,
0,3,0.28,0.09,0.09,0.09,0,1,,,3000,00:50:00,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,3030,00:50:30,,,,,
0,5,0.43,0.13,0.15,0.14,0,1,,,3060,00:51:00,,,,,
0,5,0.57,0.19,0.19,0.20,0,1,,,3090,00:51:30,,,,,
0,3,0.30,0.12,0.09,0.09,0,1,,,3120,00:52:00,,,,,
0,5,0.48,0.19,0.15,0.14,0,1,,,3150,00:52:30,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,3180,00:53:00,,,,,
0,5,0.46,0.15,0.16,0.16,0,1,,,3210,00:53:30,,,,,
0,4,0.37,0.13,0.15,0.10,0,1,,,3240,00:54:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,3270,00:54:30,,,,,
0,1,0.10,0.04,0.03,0.03,0,1,,,3300,00:55:00,,,,,
0,4,0.40,0.14,0.14,0.12,0,1,,,3330,00:55:30,,,,,
0,2,0.19,0.06,0.06,0.07,0,1,,,3360,00:56:00,,,,,
0,2,0.20,0.07,0.07,0.06,0,1,,,3390,00:56:30,,,,,
0,3,0.27,0.11,0.09,0.08,0,1,,,3420,00:57:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,3450,00:57:30,,,,,
0,3,4.27,0.10,0.08,0.09,1,0,,,3480,00:58:00,,,,,
0,1,0.10,0.03,0.03,0.04,0,1,,,3510,00:58:30,,,,,
0,2,0.18,0.06,0.06,0.07,0,1,,,3540,00:59:00,,,,,
0,3,0.30,0.10,0.08,0.12,0,1,,,3570,00:59:30,,,,,
0,3,0.31,0.10,0.11,0.10,0,1,,,3600,01:00:00,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,3630,01:00:30,,,,,
0,3,0.27,0.09,0.10,0.08,0,1,,,3660,01:01:00,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,3690,01:01:30,,,,,
0,3,0.32,0.12,0.11,0.09,0,1,,,3720,01:02:00,,,,,
0,4,0.39,0.13,0.16,0.10,0,1,,,3750,01:02:30,,,,,
0,3,0.27,0.10,0.09,0.08,0,1,,,3780,01:03:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,3810,01:03:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,3840,01:04:00,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,3870,01:04:30,,,,,
0,5,0.48,0.19,0.14,0.16,0,1,,,3900,01:05:00,,,,,
0,3,0.24,0.08,0.08,0.08,0,1,,,3930,01:05:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,3960,01:06:00,,,,,
0,3,0.27,0.08,0.09,0.10,0,1,,,3990,01:06:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,4020,01:07:00,,,,,
0,3,0.25,0.09,0.08,0.08,0,1,,,4050,01:07:30,,,,,
0,4,0.33,0.11,0.11,0.11,0,1,,,4080,01:08:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,4110,01:08:30,,,,,
0,3,0.29,0.12,0.10,0.08,0,1,,,4140,01:09:00,,,,,
0,1,0.10,0.04,0.03,0.03,0,1,,,4170,01:09:30,,,,,
0,3,0.24,0.08,0.08,0.09,0,1,,,4200,01:10:00,,,,,
0,2,0.17,0.06,0.05,0.05,0,1,,,4230,01:10:30,,,,,
0,4,0.40,0.15,0.13,0.13,0,1,,,4260,01:11:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,4290,01:11:30,,,,,
0,3,0.28,0.10,0.09,0.08,0,1,,,4320,01:12:00,,,,,
0,3,0.28,0.10,0.09,0.10,0,1,,,4350,01:12:30,,,,,
0,1,0.09,0.04,0.03,0.03,0,1,,,4380,01:13:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,4410,01:13:30,,,,,
0,4,0.40,0.13,0.12,0.15,0,1,,,4440,01:14:00,,,,,
0,3,0.25,0.08,0.09,0.08,0,1,,,4470,01:14:30,,,,,
0,5,0.46,0.17,0.13,0.16,0,1,,,4500,01:15:00,,,,,
0,3,0.24,0.08,0.09,0.08,0,1,,,4530,01:15:30,,,,,
0,3,0.29,0.12,0.09,0.08,0,1,,,4560,01:16:00,,,,,
0,2,0.19,0.07,0.05,0.06,0,1,,,4590,01:16:30,,,,,
0,4,0.37,0.13,0.14,0.10,0,1,,,4620,01:17:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,4650,01:17:30,,,,,
0,4,0.34,0.12,0.10,0.12,0,1,,,4680,01:18:00,,,,,
0,1,0.10,0.03,0.03,0.04,0,1,,,4710,01:18:30,,,,,
0,5,0.46,0.13,0.13,0.20,0,1,,,4740,01:19:00,,,,,
0,3,0.30,0.09,0.10,0.10,0,1,,,4770,01:19:30,,,,,
0,3,0.26,0.08,0.10,0.08,0,1,,,4800,01:20:00,,,,,
0,3,0.31,0.10,0.09,0.11,0,1,,,4830,01:20:30,,,,,
0,3,0.26,0.09,0.08,0.09,0,1,,,4860,01:21:00,,,,,
0,5,0.46,0.19,0.14,0.14,0,1,,,4890,01:21:30,,,,,
0,5,0.51,0.16,0.19,0.16,0,1,,,4920,01:22:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,4950,01:22:30,,,,,
0,4,0.35,0.13,0.11,0.12,0,1,,,4980,01:23:00,,,,,
0,4,0.33,0.13,0.11,0.10,0,1,,,5010,01:23:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,5040,01:24:00,,,,,
0,4,0.36,0.10,0.11,0.15,0,1,,,5070,01:24:30,,,,,
0,5,0.46,0.17,0.16,0.13,0,1,,,5100,01:25:00,,,,,
0,4,0.39,0.15,0.11,0.13,0,1,,,5130,01:25:30,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,5160,01:26:00,,,,,
0,1,0.11,0.03,0.04,0.04,0,1,,,5190,01:26:30,,,,,
0,4,0.42,0.16,0.11,0.15,0,1,,,5220,01:27:00,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,5250,01:27:30,,,,,
0,2,0.18,0.05,0.05,0.08,0,1,,,5280,01:28:00,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,5310,01:28:30,,,,,
0,4,0.33,0.10,0.12,0.11,0,1,,,5340,01:29:00,,,,,
0,1,0.10,0.04,0.03,0.03,0,1,,,5370,01:29:30,,,,,
0,1,0.11,0.04,0.04,0.03,0,1,,,5400,01:30:00,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,5430,01:30:30,,,,,
0,5,0.40,0.15,0.13,0.13,0,1,,,5460,01:31:00,,,,,
0,2,0.19,0.05,0.06,0.08,0,1,,,5490,01:31:30,,,,,
0,2,0.20,0.08,0.05,0.06,0,1,,,5520,01:32:00,,,,,
0,2,0.18,0.08,0.05,0.05,0,1,,,5550,01:32:30,,,,,
0,3,0.26,0.10,0.08,0.09,0,1,,,5580,01:33:00,,,,,
0,2,0.20,0.05,0.08,0.07,0,1,,,5610,01:33:30,,,,,
0,5,0.46,0.14,0.16,0.16,0,1,,,5640,01:34:00,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,5670,01:34:30,,,,,
0,2,0.19,0.08,0.06,0.05,0,1,,,5700,01:35:00,,,,,
0,3,0.25,0.10,0.08,0.08,0,1,,,5730,01:35:30,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,5760,01:36:00,,,,,
0,4,0.31,0.10,0.10,0.11,0,1,,,5790,01:36:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,5820,01:37:00,,,,,
0,1,0.10,0.04,0.03,0.03,0,1,,,5850,01:37:30,,,,,
0,5,0.46,0.17,0.13,0.17,0,1,,,5880,01:38:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,5910,01:38:30,,,,,
0,2,0.23,0.07,0.08,0.07,0,1,,,5940,01:39:00,,,,,
0,1,0.09,0.04,0.03,0.03,0,1,,,5970,01:39:30,,,,,
0,4,0.35,0.11,0.12,0.12,0,1,,,6000,01:40:00,,,,,
0,5,1.43,0.14,0.14,0.16,1,0,,,6030,01:40:30,,,,,
0,3,0.30,0.09,0.11,0.09,0,1,,,6060,01:41:00,,,,,
0,3,0.27,0.09,0.08,0.10,0,1,,,6090,01:41:30,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,6120,01:42:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,6150,01:42:30,,,,,
0,5,0.51,0.16,0.19,0.17,0,1,,,6180,01:43:00,,,,,
0,5,0.46,0.17,0.14,0.15,0,1,,,6210,01:43:30,,,,,
0,5,0.50,0.20,0.13,0.17,0,1,,,6240,01:44:00,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,6270,01:44:30,,,,,
0,4,0.40,0.10,0.13,0.16,0,1,,,6300,01:45:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,6330,01:45:30,,,,,
0,5,0.43,0.14,0.15,0.14,0,1,,,6360,01:46:00,,,,,
0,5,0.46,0.16,0.14,0.16,0,1,,,6390,01:46:30,,,,,
0,3,0.30,0.08,0.12,0.10,0,1,,,6420,01:47:00,,,,,
0,2,0.19,0.06,0.05,0.07,0,1,,,6450,01:47:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,6480,01:48:00,,,,,
0,5,0.51,0.20,0.14,0.18,0,1,,,6510,01:48:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,6540,01:49:00,,,,,
0,1,0.09,0.03,0.03,0.04,0,1,,,6570,01:49:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,6600,01:50:00,,,,,
0,1,0.10,0.04,0.03,0.03,0,1,,,6630,01:50:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,6660,01:51:00,,,,,
0,3,0.33,0.12,0.11,0.10,0,1,,,6690,01:51:30,,,,,
0,5,0.46,0.14,0.19,0.13,0,1,,,6720,01:52:00,,,,,
0,5,0.45,0.14,0.13,0.19,0,1,,,6750,01:52:30,,,,,
0,2,0.16,0.05,0.06,0.05,0,1,,,6780,01:53:00,,,,,
0,2,0.22,0.08,0.06,0.08,0,1,,,6810,01:53:30,,,,,
0,1,0.10,0.04,0.03,0.03,0,1,,,6840,01:54:00,,,,,
0,4,0.37,0.11,0.15,0.10,0,1,,,6870,01:54:30,,,,,
0,1,0.09,0.04,0.03,0.03,0,1,,,6900,01:55:00,,,,,
0,5,0.46,0.16,0.17,0.13,0,1,,,6930,01:55:30,,,,,
0,2,0.16,0.05,0.05,0.05,0,1,,,6960,01:56:00,,,,,
0,1,0.10,0.04,0.03,0.03,0,1,,,6990,01:56:30,,,,,
0,4,0.33,0.10,0.10,0.13,0,1,,,7020,01:57:00,,,,,
0,5,0.50,0.13,0.19,0.19,0,1,,,7050,01:57:30,,,,,
0,4,0.35,0.13,0.11,0.11,0,1,,,7080,01:58:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,7110,01:58:30,,,,,
0,5,0.40,0.15,0.13,0.13,0,1,,,7140,01:59:00,,,,,
0,1,0.10,0.03,0.03,0.04,0,1,,,7170,01:59:30,,,,,
0,5,0.42,0.13,0.13,0.16,0,1,,,7200,02:00:00,,,,,
0,5,0.43,0.17,0.13,0.14,0,1,,,7230,02:00:30,,,,,
0,2,0.18,0.05,0.07,0.06,0,1,,,7260,02:01:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,7290,02:01:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,7320,02:02:00,,,,,
0,4,0.40,0.12,0.12,0.16,0,1,,,7350,02:02:30,,,,,
0,2,0.18,0.06,0.07,0.05,0,1,,,7380,02:03:00,,,,,
0,5,0.47,0.13,0.19,0.15,0,1,,,7410,02:03:30,,,,,
0,5,0.47,0.16,0.16,0.15,0,1,,,7440,02:04:00,,,,,
0,2,0.20,0.06,0.06,0.08,0,1,,,7470,02:04:30,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,7500,02:05:00,,,,,
0,3,0.27,0.09,0.11,0.08,0,1,,,7530,02:05:30,,,,,
0,3,0.27,0.09,0.08,0.10,0,1,,,7560,02:06:00,,,,,
0,5,0.51,0.19,0.15,0.17,0,1,,,7590,02:06:30,,,,,
0,1,0.09,0.03,0.03,0.04,0,1,,,7620,02:07:00,,,,,
0,2,0.18,0.07,0.05,0.07,0,1,,,7650,02:07:30,,,,,
0,4,0.36,0.13,0.10,0.14,0,1,,,7680,02:08:00,,,,,
0,2,0.18,0.06,0.07,0.05,0,1,,,7710,02:08:30,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,7740,02:09:00,,,,,
0,4,0.36,0.10,0.11,0.15,0,1,,,7770,02:09:30,,,,,
0,4,0.39,0.15,0.11,0.13,0,1,,,7800,02:10:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,7830,02:10:30,,,,,
0,4,0.36,0.11,0.14,0.12,0,1,,,7860,02:11:00,,,,,
0,1,0.10,0.03,0.04,0.04,0,1,,,7890,02:11:30,,,,,
0,4,0.39,0.15,0.10,0.14,0,1,,,7920,02:12:00,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,7950,02:12:30,,,,,
0,1,0.10,0.03,0.04,0.04,0,1,,,7980,02:13:00,,,,,
0,5,0.44,0.18,0.13,0.14,0,1,,,8010,02:13:30,,,,,
0,5,0.47,0.14,0.18,0.15,0,1,,,8040,02:14:00,,,,,
0,2,0.17,0.06,0.05,0.06,0,1,,,8070,02:14:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,8100,02:15:00,,,,,
0,4,0.36,0.11,0.14,0.11,0,1,,,8130,02:15:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,8160,02:16:00,,,,,
0,5,0.46,0.14,0.17,0.15,0,1,,,8190,02:16:30,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,8220,02:17:00,,,,,
0,5,0.42,0.14,0.14,0.15,0,1,,,8250,02:17:30,,,,,
0,3,0.32,0.12,0.08,0.12,0,1,,,8280,02:18:00,,,,,
0,3,0.28,0.11,0.09,0.08,0,1,,,8310,02:18:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,8340,02:19:00,,,,,
0,4,0.33,0.10,0.10,0.13,0,1,,,8370,02:19:30,,,,,
0,3,0.28,0.10,0.09,0.10,0,1,,,8400,02:20:00,,,,,
0,2,0.21,0.07,0.07,0.07,0,1,,,8430,02:20:30,,,,,
0,4,0.43,0.16,0.13,0.14,0,1,,,8460,02:21:00,,,,,
0,4,0.34,0.12,0.11,0.11,0,1,,,8490,02:21:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,8520,02:22:00,,,,,
0,4,0.36,0.15,0.11,0.10,0,1,,,8550,02:22:30,,,,,
0,5,0.53,0.19,0.16,0.17,0,1,,,8580,02:23:00,,,,,
0,5,0.44,0.14,0.16,0.13,0,1,,,8610,02:23:30,,,,,
0,4,0.40,0.14,0.13,0.13,0,1,,,8640,02:24:00,,,,,
0,1,0.09,0.04,0.03,0.03,0,1,,,8670,02:24:30,,,,,
0,4,0.33,0.11,0.11,0.11,0,1,,,8700,02:25:00,,,,,
0,1,1.08,0.03,0.03,0.03,1,0,,,8730,02:25:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,8760,02:26:00,,,,,
0,4,0.36,0.13,0.12,0.11,0,1,,,8790,02:26:30,,,,,
0,1,0.10,0.04,0.04,0.03,0,1,,,8820,02:27:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,8850,02:27:30,,,,,
0,2,0.19,0.07,0.06,0.06,0,1,,,8880,02:28:00,,,,,
0,2,0.19,0.06,0.07,0.05,0,1,,,8910,02:28:30,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,8940,02:29:00,,,,,
0,4,0.46,0.15,0.16,0.15,0,1,,,8970,02:29:30,,,,,
0,5,0.44,0.17,0.13,0.14,0,1,,,9000,02:30:00,,,,,
0,3,0.30,0.09,0.11,0.10,0,1,,,9030,02:30:30,,,,,
0,2,0.17,0.07,0.05,0.05,0,1,,,9060,02:31:00,,,,,
0,5,0.49,0.16,0.16,0.18,0,1,,,9090,02:31:30,,,,,
0,2,0.21,0.08,0.06,0.06,0,1,,,9120,02:32:00,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,9150,02:32:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,9180,02:33:00,,,,,
0,2,0.22,0.07,0.07,0.07,0,1,,,9210,02:33:30,,,,,
0,5,0.47,0.18,0.16,0.14,0,1,,,9240,02:34:00,,,,,
0,3,0.28,0.12,0.09,0.08,0,1,,,9270,02:34:30,,,,,
0,3,0.29,0.08,0.09,0.12,0,1,,,9300,02:35:00,,,,,
0,5,0.45,0.20,0.13,0.13,0,1,,,9330,02:35:30,,,,,
0,3,0.29,0.11,0.08,0.10,0,1,,,9360,02:36:00,,,,,
0,1,0.09,0.03,0.04,0.03,0,1,,,9390,02:36:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,9420,02:37:00,,,,,
0,3,0.29,0.08,0.10,0.11,0,1,,,9450,02:37:30,,,,,
0,5,0.47,0.16,0.17,0.14,0,1,,,9480,02:38:00,,,,,
0,3,0.29,0.10,0.10,0.10,0,1,,,9510,02:38:30,,,,,
0,3,0.28,0.09,0.11,0.08,0,1,,,9540,02:39:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,9570,02:39:30,,,,,
0,4,0.38,0.15,0.13,0.11,0,1,,,9600,02:40:00,,,,,
0,1,0.08,0.03,0.03,0.03,0,1,,,9630,02:40:30,,,,,
0,5,0.44,0.13,0.16,0.16,0,1,,,9660,02:41:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,9690,02:41:30,,,,,
0,3,0.25,0.08,0.08,0.09,0,1,,,9720,02:42:00,,,,,
0,1,0.11,0.03,0.04,0.04,0,1,,,9750,02:42:30,,,,,
0,5,0.49,0.14,0.16,0.20,0,1,,,9780,02:43:00,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,9810,02:43:30,,,,,
0,3,0.26,0.10,0.08,0.08,0,1,,,9840,02:44:00,,,,,
0,1,0.09,0.03,0.03,0.03,0,1,,,9870,02:44:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,9900,02:45:00,,,,,
0,5,0.46,0.15,0.17,0.14,0,1,,,9930,02:45:30,,,,,
0,1,0.10,0.03,0.04,0.04,0,1,,,9960,02:46:00,,,,,
0,2,0.21,0.08,0.06,0.07,0,1,,,9990,02:46:30,,,,,
0,3,3.29,0.08,0.10,0.11,1,0,,,10020,02:47:00,,,,,
0,1,0.12,0.04,0.04,0.04,0,1,,,10050,02:47:30,,,,,
0,2,0.19,0.06,0.06,0.07,0,1,,,10080,02:48:00,,,,,
0,5,0.44,0.13,0.18,0.13,0,1,,,10110,02:48:30,,,,,
0,3,0.29,0.09,0.10,0.10,0,1,,,10140,02:49:00,,,,,
0,4,0.35,0.13,0.12,0.10,0,1,,,10170,02:49:30,,,,,
0,5,0.46,0.14,0.17,0.15,0,1,,,10200,02:50:00,,,,,
0,4,0.44,0.12,0.15,0.16,0,1,,,10230,02:50:30,,,,,
0,5,0.46,0.15,0.18,0.14,0,1,,,10260,02:51:00,,,,,
0,1,0.10,0.03,0.04,0.03,0,1,,,10290,02:51:30,,,,,
0,0,0.00,0.00,0.00,0.00,0,1,,,10320,02:52:00,,,,,
